Geolocation,Year,Changes in Inventories,Current Health Expenditure,Current Health Expenditure GR,Consumption Expenditure %,Consumption Expenditure GR,Gross Capital Formation,GRDP,Population,Primary Drop-out rate,Primary Drop-out rate (Girls),Primary Drop-out rate (Boys),Secondary Drop-out rate,Secondary Drop-out rate (Girls),Secondary Drop-out rate (Boys),Price Index for Agriculture
BARMM: Bangsamoro Autonomous Region in Muslim Mindanao,2004,4554275.0,,,2.0,-1.0,15457196.0,71276682.0,3232800.0,,,,,,,
PHILIPPINES,2005,20573012.0,,,100.0,13.2,1098633998.0,5917282301.0,84559930.0,,,,,,,
NCR: National Capital Region,2005,-21121052.0,,,44.3,9.1,364638998.0,1954778997.0,10921427.0,,,,,,,
CAR: Cordillera Administrative Region,2005,922235.0,,,2.6,6.1,20432006.0,133005766.0,1503126.0,,,,,,,
Region 1: Ilocos Region,2005,2156933.0,,,4.0,29.2,39338515.0,198599341.0,4486265.0,,,,,,,
Region 2: Cagayan Valley,2005,21591202.0,,,2.6,17.5,58370199.0,121542578.0,3026730.0,,,,,,,
Region 3: Central Luzon,2005,-4770170.0,,,5.5,20.2,92419886.0,610192972.0,9181933.0,,,,,,,
Region 4A: CALABARZON,2005,30758718.0,,,5.6,14.1,173261985.0,987614867.0,10990009.0,,,,,,,
MIMAROPA: Southwestern Tagalog Region,2005,1792345.0,,,2.1,18.0,15527012.0,121806090.0,2533484.0,,,,,,,
Region 5: Bicol Region,2005,3413493.0,,,3.5,20.9,30110212.0,148022711.0,5067918.0,,,,,,,
Region 6: Western Visayas,2005,1445825.0,,,4.8,18.6,44867130.0,270572999.0,6681274.0,,,,,,,
Region 7: Central Visayas,2005,2064083.0,,,3.0,17.7,64122060.0,321657954.0,6264053.0,,,,,,,
Region 8: Eastern Visayas,2005,-13005839.0,,,4.3,8.4,33122898.0,164052811.0,3839638.0,,,,,,,
Region 9: Zamboanga Peninsula,2005,4543260.0,,,3.5,13.8,25807637.0,110091946.0,3152309.0,,,,,,,
Region 10: Northern Mindanao,2005,13843338.0,,,2.9,18.0,47028216.0,224201372.0,3921010.0,,,,,,,
Region 11: Davao Region,2005,-8433806.0,,,3.5,11.5,41714462.0,240651281.0,4082235.0,,,,,,,
Region 12: SOCCSKSARGEN,2005,-3658552.0,,,3.5,10.4,22874351.0,146556546.0,3346482.0,,,,,,,
CARAGA: Cordillera Administrative Region,2005,-12928080.0,,,2.4,16.2,8967658.0,84420023.0,2269967.0,,,,,,,
BARMM: Bangsamoro Autonomous Region in Muslim Mindanao,2005,1959079.0,,,1.8,22.7,16030773.0,79514046.0,3292071.0,,,,,,,
PHILIPPINES,2006,-178148844.0,,,100.0,11.9,1049071426.0,6550417113.0,86150420.0,6.37,5.0,7.64,8.5,6.7,10.4,
NCR: National Capital Region,2006,-62074630.0,,,42.7,12.5,350945836.0,2176864045.0,11113967.0,2.37,1.46,2.98,7.4,6.8,8.8,
CAR: Cordillera Administrative Region,2006,1539829.0,,,2.4,3.3,25385665.0,145857673.0,1527858.0,5.67,4.23,6.96,4.2,2.6,5.8,
Region 1: Ilocos Region,2006,-12615425.0,,,4.6,2.3,32127165.0,218353822.0,4540893.0,3.93,3.15,4.64,4.1,4.1,5.2,
Region 2: Cagayan Valley,2006,19634112.0,,,2.7,11.2,68595346.0,139253836.0,3068387.0,4.72,3.21,6.09,7.1,5.7,8.6,
Region 3: Central Luzon,2006,-23168248.0,,,5.8,21.3,84806309.0,668848239.0,9376303.0,3.69,2.74,4.56,7.3,5.5,9.1,
Region 4A: CALABARZON,2006,-40148922.0,,,5.7,38.8,120393803.0,1093698856.0,11320451.0,3.9,2.88,4.85,5.3,3.4,7.3,
MIMAROPA: Southwestern Tagalog Region,2006,-6738316.0,,,2.2,21.4,10027999.0,131197013.0,2577808.0,6.7,5.18,8.09,9.1,6.7,11.7,
Region 5: Bicol Region,2006,1929194.0,,,3.8,20.4,31513023.0,158101543.0,5141157.0,6.06,4.78,7.21,9.2,6.9,11.6,
Region 6: Western Visayas,2006,-6533844.0,,,5.1,4.1,52570827.0,299925476.0,6769880.0,6.38,4.61,7.96,8.9,6.2,11.5,
Region 7: Central Visayas,2006,-22029093.0,,,3.1,6.3,52741677.0,354599746.0,6373743.0,5.0,3.56,6.27,10.4,8.1,12.8,
Region 8: Eastern Visayas,2006,-14453592.0,,,4.1,0.9,35549864.0,183249360.0,3889981.0,8.03,6.11,9.82,10.2,8.8,11.7,
Region 9: Zamboanga Peninsula,2006,6236741.0,,,3.5,3.0,32077060.0,124161636.0,3208677.0,10.4,8.2,12.45,9.5,8.3,10.7,
