Geolocation,Year,1.2.1 Poverty Proportion,1.4.1 Net Elem Enrolment Rate,1.4.1 Net Elem Enrolment Rate (Girls),1.4.1 Net Elem Enrolment Rate (Boys),1.4.1 Net JHS Enrolment Rate,1.4.1 Net JHS Enrolment Rate (Girls),1.4.1 Net JHS Enrolment Rate (Boys),1.4.1 Net SHS Enrolment Rate,1.4.1 Net SHS Enrolment Rate (Girls),1.4.1 Net SHS Enrolment Rate (Boys),1.5.4 Proportion of LGU with DRR,3.4.1 Mortality rate credited to NCD,3.4.1 Mortality rate credited to Cardio,3.4.1 Mortality rate credited to Cancer,3.4.1 Mortality rate credited to Diabetes,3.4.1 Mortality rate credited to Respi,3.7.1 Proportion of Contraceptive Use of Women,3.7.2 Teenage pregnancy rates per 1000,4.1 Elem Completion Rate,4.1 Elem Completion Rate (Female),4.1 Elem Completion Rate (Male),4.1 JHS Completion Rate,4.1 JHS Completion Rate (Female),4.1 JHS Completion Rate (Male),4.1 SHS Completion Rate,4.1 SHS Completion Rate (Female),4.1 SHS Completion Rate (Male),4.c TVET trainers trained,7.1.1 Proportion of pop with electricity,8.1.1 Growth rate of real GDP per capita,10.1.1.1 Income per capita growth rate of bottom 40,10.1.1.2 Income per capita growth rate,14.5.1.1 Coverage of protected areas,14.5.1.2 Coverage of protected NIPAS and Locally managed MPAs,"16.1.1 Victims of intentional homicide per 100,000",16.1.s1 Number of murder cases,Changes in Inventories,Current Health Expenditure,Current Health Expenditure GR,Consumption Expenditure %,Consumption Expenditure GR,Gross Capital Formation,GRDP,Population,Primary Drop-out rate,Primary Drop-out rate (Girls),Primary Drop-out rate (Boys),Secondary Drop-out rate,Secondary Drop-out rate (Girls),Secondary Drop-out rate (Boys),Price Index for Agriculture
Region 5: Bicol Region,2008,,85.07,85.67,84.5,55.24,61.13,49.65,,,,,,3.0,0.8,0.4,0.3,33.8,63.0,74.39,79.32,70.02,73.14,78.2,67.95,,,,,,3.660203715087548,,,,,,,5154369.0,,,3.8,21.3,47880014.0,203567999.0,5287141.0,5.9,4.71,6.96,8.8,6.9,10.7,
Region 6: Western Visayas,2008,,74.93,75.05,74.81,53.98,59.08,49.01,,,,,,2.4,1.1,0.4,0.5,44.4,41.0,72.6,78.94,67.12,76.35,81.94,70.66,,,,,,3.485104615816724,,,,,,,15823095.0,,,4.4,20.7,73382845.0,375511999.0,6944719.0,6.03,4.49,7.4,7.4,5.4,9.3,
Region 7: Central Visayas,2008,,81.38,81.46,81.29,55.49,60.96,50.13,,,,,4.4,2.4,1.2,0.5,0.3,46.0,58.0,78.83,84.68,73.57,73.32,78.52,67.9,,,,,,3.373899714217089,,,,,,,-23683350.0,,,2.9,13.2,66644077.0,442118144.0,6595079.0,4.59,3.34,5.7,8.4,6.6,10.2,
Region 8: Eastern Visayas,2008,,80.33,81.24,79.46,53.28,60.06,46.85,,,,,3.5,2.1,0.7,0.4,0.3,37.5,60.0,71.65,78.32,65.81,70.56,74.56,66.29,,,,,,3.40742363268636,,,,,,,3012086.0,,,3.8,5.4,57762475.0,225450370.0,3996867.0,6.51,4.83,8.06,9.6,8.2,11.1,
Region 9: Zamboanga Peninsula,2008,,79.25,79.65,78.87,49.28,54.18,44.4,,,,,3.2,2.0,0.7,0.3,0.2,40.3,62.0,58.77,64.91,53.45,68.74,72.47,64.7,,,,,,1.3578605101900223,,,,,,,15287172.0,,,3.1,6.7,47934898.0,162968224.0,3315530.0,10.27,8.38,12.01,10.5,9.2,12.0,
Region 10: Northern Mindanao,2008,,81.23,81.83,80.65,50.67,55.66,45.78,,,,,3.6,2.0,0.9,0.4,0.2,54.2,43.0,68.67,74.66,63.39,70.38,75.4,65.2,,,,,,3.540598894554776,,,,,,,18543621.0,,,3.2,23.1,66116839.0,322020334.0,4155859.0,7.28,5.76,8.67,9.8,7.9,11.7,
Region 11: Davao Region,2008,,78.0,78.61,77.42,48.61,53.39,43.89,,,,,4.0,2.4,0.9,0.5,0.2,59.5,68.0,62.72,69.39,56.96,72.57,77.73,67.17,,,,,,1.9675460150471904,,,,,,,11999027.0,,,3.2,10.8,78610222.0,328336322.0,4321241.0,9.09,7.13,10.89,8.5,6.6,10.6,
Region 12: SOCCSKSARGEN,2008,,80.12,81.21,79.08,51.8,57.23,46.47,,,,,3.2,1.9,0.7,0.4,0.2,53.8,64.0,66.01,72.15,60.54,68.24,72.6,63.75,,,,,,2.7278503327793544,,,,,,,2443724.0,,,3.0,24.3,37747319.0,211332780.0,3561107.0,8.33,6.65,9.92,10.2,8.4,11.9,
CARAGA: CARAGA Administrative Region,2008,,76.14,75.54,76.71,51.09,55.24,47.05,,,,,3.5,2.1,0.7,0.5,0.3,47.6,83.0,71.89,77.55,66.92,73.64,76.48,70.7,,,,,,1.3560643277680242,,,,,,,1206760.0,,,2.2,12.6,32838613.0,119394512.0,2369246.0,6.62,5.19,7.91,8.7,7.7,9.8,
BARMM: Bangsamoro Autonomous Region in Muslim Mindanao,2008,,99.85,104.34,95.37,37.98,42.57,33.24,,,,,0.5,0.4,0.1,0.0,0.0,21.2,71.0,37.5,40.24,34.62,53.55,55.35,51.32,,,,,,-0.5839999628623218,,,,,,,-11874312.0,,,2.1,15.6,11818453.0,104963626.0,3511566.0,17.99,16.87,19.21,10.8,10.0,11.9,
PHILIPPINES,2009,,89.48,90.77,88.26,59.89,64.82,55.16,,,,,4.4,2.6,1.0,0.4,0.3,,,72.18,77.54,67.44,73.55,78.25,68.83,,,,,99.39,-0.3520272859113333,,,,,,,-100523573.0,,,100.0,10.8,1462594876.0,8390421456.0,90974244.0,6.28,4.93,7.52,8.0,6.2,9.7,
NCR: National Capital Region,2009,,90.96,92.01,89.98,76.69,79.74,73.69,,,,,5.2,3.2,1.2,0.5,0.3,,,79.66,83.11,76.49,75.8,80.78,70.94,,,,,100.0,-1.7184124438690844,,,,,,,-78327162.0,,,44.1,9.9,461856608.0,2754035852.0,11693627.0,4.07,3.33,4.75,6.9,5.0,8.7,
CAR: Cordillera Administrative Region,2009,,99.51,100.21,98.84,64.76,71.8,58.0,,,,,3.3,2.0,0.9,0.3,0.2,,,77.13,83.98,71.13,63.35,72.33,54.7,,,,,100.0,0.7371908800771365,,,,,,,4102771.0,,,2.1,10.4,32099095.0,172017163.0,1598061.0,5.04,2.73,6.41,7.9,4.4,11.4,
Region 1: Ilocos Region,2009,,93.24,94.03,92.51,71.77,75.8,67.95,,,,,5.0,2.9,1.2,0.5,0.5,,,83.09,86.82,79.76,80.39,85.32,75.71,,,,,100.0,-1.263560033872977,,,,,,,-2241727.0,,,3.6,12.4,55904854.0,278946712.0,4703370.0,3.6,2.75,4.38,5.5,3.8,7.1,
Region 2: Cagayan Valley,2009,,95.58,96.8,94.45,66.95,72.81,61.41,,,,,4.1,2.4,1.0,0.2,0.5,,,78.25,83.9,73.35,77.96,82.21,73.71,,,,,99.96,0.8358897470857727,,,,,,,21317690.0,,,2.5,8.4,75637222.0,184247388.0,3193998.0,4.81,3.45,6.04,6.9,5.3,8.5,
Region 3: Central Luzon,2009,,90.99,91.82,90.21,68.41,72.39,64.64,,,,,5.2,3.1,1.2,0.6,0.4,,,81.87,86.08,78.16,76.14,81.93,70.62,,,,,99.94,-1.3478828681357695,,,,,,,-4638249.0,,,6.7,11.3,152676627.0,854442889.0,9969599.0,3.72,2.7,4.65,7.0,4.9,9.0,
Region 4A: CALABARZON,2009,,87.43,88.48,86.44,67.03,71.2,63.01,,,,,4.8,2.9,1.0,0.5,0.3,,,84.84,89.33,80.15,81.17,88.81,74.18,,,,,98.63,-3.478451191321738,,,,,,,-70383785.0,,,6.9,11.8,137230627.0,1283795207.0,12324816.0,2.57,1.78,4.2,6.5,4.2,8.8,
MIMAROPA: Southwestern Tagalog Region,2009,,88.76,89.41,88.16,56.29,61.94,50.97,,,,,3.6,2.2,0.8,0.3,0.4,,,69.38,74.39,64.98,73.13,78.96,67.43,,,,,99.31,2.9029716037283606,,,,,,,-4735049.0,,,2.4,8.6,18093221.0,184665344.0,2708570.0,6.93,5.64,8.08,8.6,6.3,10.8,
Region 5: Bicol Region,2009,,92.63,93.55,91.77,54.92,61.07,49.21,,,,,,3.2,0.8,0.4,0.4,,,74.45,79.37,70.1,73.61,78.27,68.87,,,,,99.94,5.586480535080639,,,,,,,3798417.0,,,4.0,10.6,49960679.0,223520298.0,5359687.0,5.8,4.63,6.83,8.5,6.7,10.3,
Region 6: Western Visayas,2009,,86.99,88.15,85.9,55.83,61.36,50.54,,,,,,2.5,1.1,0.4,0.4,,,72.54,79.39,66.69,76.27,80.69,71.8,,,,,99.93,4.312947819300987,,,,,,,6024890.0,,,4.6,11.5,65937469.0,407178512.0,7030714.0,6.05,4.4,7.52,7.1,5.4,8.7,
Region 7: Central Visayas,2009,,90.87,92.67,89.2,56.69,63.46,50.37,,,,,4.5,2.6,1.2,0.4,0.3,,,76.84,83.3,71.22,73.12,78.9,67.29,,,,,100.0,1.3138918709686038,,,,,,,-14827586.0,,,2.9,14.4,71085390.0,465442221.0,6706422.0,4.78,3.28,6.1,8.5,6.3,10.6,
Region 8: Eastern Visayas,2009,,90.23,91.85,88.72,52.45,59.05,46.3,,,,,3.6,2.2,0.7,0.4,0.3,,,69.46,75.79,64.04,69.88,72.87,66.69,,,,,98.84,2.487710281903219,,,,,,,9742439.0,,,3.4,15.3,66895260.0,241850136.0,4053263.0,7.19,5.5,8.72,9.9,8.8,11.0,
Region 9: Zamboanga Peninsula,2009,,91.66,92.92,90.45,48.75,54.02,43.62,,,,,3.4,2.1,0.7,0.3,0.2,,,59.84,66.58,54.11,69.72,71.49,67.85,,,,,99.84,5.151711049080546,,,,,,,23828928.0,,,2.8,11.9,57791190.0,178223978.0,3365869.0,10.21,8.15,12.1,10.0,9.2,10.8,
Region 10: Northern Mindanao,2009,,91.91,92.97,90.91,50.61,55.96,45.47,,,,,3.8,2.3,0.9,0.4,0.3,,,64.46,71.95,58.1,65.87,70.92,60.74,,,,,96.44,1.4414203375929304,,,,,,,7506651.0,,,3.4,10.1,61730858.0,346382742.0,4232861.0,8.44,6.4,10.29,11.2,9.2,13.2,
Region 11: Davao Region,2009,,93.26,94.37,92.19,54.47,59.48,49.61,,,,,4.2,2.5,1.0,0.5,0.2,,,66.97,74.26,60.73,68.78,70.44,66.96,,,,,100.0,3.0199742670523197,,,,,,,11299702.0,,,3.1,10.4,75252448.0,358638649.0,4401248.0,8.12,6.11,9.95,10.3,9.8,10.8,
Region 12: SOCCSKSARGEN,2009,,84.55,86.71,82.51,51.22,56.5,46.05,,,,,3.3,1.9,0.7,0.4,0.2,,,62.29,68.71,56.64,73.3,76.64,69.78,,,,,99.75,-0.1145238156530297,,,,,,,-5144357.0,,,3.2,8.3,32340873.0,220826218.0,3631744.0,9.16,7.28,10.92,8.1,6.9,9.4,
CARAGA: CARAGA Administrative Region,2009,,93.86,94.17,93.56,55.35,60.51,50.51,,,,,3.7,2.2,0.8,0.4,0.3,,,66.36,73.8,60.11,59.85,63.41,56.24,,,,,99.85,0.5746731855805507,,,,,,,5586101.0,,,2.2,11.0,36471545.0,125030284.0,2401907.0,8.07,6.06,9.89,9.8,8.5,11.0,
BARMM: Bangsamoro Autonomous Region in Muslim Mindanao,2009,,74.21,78.31,70.14,10.08,37.3,28.1,,,,,0.3,0.2,0.0,0.0,0.0,,,37.23,41.33,33.1,65.4,67.63,62.59,,,,,97.8,1.0382734235328712,,,,,,,-13433247.0,,,2.1,18.0,11630910.0,111177863.0,3598490.0,18.63,16.8,20.62,11.4,10.7,12.3,
PHILIPPINES,2010,,95.92,97.47,94.46,64.3,69.76,59.11,,,,,4.4,2.7,1.0,0.4,0.3,,,72.11,77.14,67.65,75.06,80.27,69.88,,,,,99.89,5.453808141858346,,,,,,,1856549.0,,,100.0,7.9,1921414212.0,9399450758.0,92596704.0,6.29,5.02,7.45,7.8,5.7,9.5,
NCR: National Capital Region,2010,,96.9,98.74,95.2,79.57,83.2,76.04,,,,,5.2,3.3,1.1,0.5,0.3,,,82.85,86.54,79.51,75.91,81.46,70.56,,,,,100.0,4.58724612183083,,,,,,,-8382259.0,,,43.7,3.8,709295233.0,3053160348.0,11887173.0,3.31,2.53,4.03,6.7,4.6,8.8,
CAR: Cordillera Administrative Region,2010,,97.64,98.61,96.73,63.7,70.68,57.03,,,,,3.2,1.9,0.9,0.2,0.2,,,71.79,75.98,68.07,75.15,81.12,69.2,,,,,100.0,4.611006446855598,,,,,,,10081530.0,,,2.1,8.7,40460952.0,189766817.0,1620087.0,6.0,4.94,6.96,8.1,5.6,10.6,
Region 1: Ilocos Region,2010,,98.32,99.17,97.53,76.4,81.19,71.91,,,,,5.1,2.9,1.2,0.5,0.5,,,82.8,85.95,80.01,78.78,83.82,74.04,,,,,100.0,7.426453497815501,,,,,,,17223201.0,,,3.7,8.1,78634006.0,312628376.0,4756961.0,3.78,3.02,4.46,5.9,4.2,7.6,
Region 2: Cagayan Valley,2010,,95.34,96.45,94.31,69.61,75.51,64.07,,,,,4.3,2.7,1.0,0.2,0.4,,,77.47,82.52,73.06,79.07,82.57,75.56,,,,,100.0,2.72351075542818,,,,,,,24698127.0,,,2.5,10.2,81642816.0,192880304.0,3236006.0,4.95,3.71,6.07,6.7,5.4,7.9,
Region 3: Central Luzon,2010,,98.04,99.38,96.8,74.4,78.97,70.1,,,,,5.2,3.1,1.2,0.5,0.4,,,80.22,84.92,76.1,77.76,83.22,72.51,,,,,100.0,7.861806449711523,,,,,,,-25471626.0,,,6.7,7.7,160676585.0,979287700.0,10170399.0,4.15,3.02,5.19,6.7,4.7,8.5,
Region 4A: CALABARZON,2010,,93.94,95.2,92.76,70.28,74.8,65.98,,,,,4.8,3.0,1.0,0.5,0.3,,,82.14,87.54,77.37,79.79,85.55,74.16,,,,,99.33,7.279562477489492,,,,,,,-74356788.0,,,6.9,7.1,201552417.0,1486403920.0,12663339.0,3.75,2.55,4.86,5.9,3.9,8.0,
MIMAROPA: Southwestern Tagalog Region,2010,,95.04,96.25,93.92,59.95,65.67,54.54,,,,,3.6,2.1,0.8,0.3,0.4,,,72.92,78.95,67.68,70.4,75.97,64.86,,,,,100.0,-0.7606446985672193,,,,,,,-5964736.0,,,2.4,5.1,19103351.0,191713018.0,2751341.0,6.25,4.79,7.56,9.4,7.4,11.5,
Region 5: Bicol Region,2010,,97.19,97.99,96.44,57.77,64.44,51.57,,,,,,3.3,0.8,0.4,0.4,,,74.54,80.04,69.72,73.0,80.49,65.67,,,,,100.0,4.505054041060944,,,,,,,13023064.0,,,4.0,8.2,63983684.0,246110918.0,5432002.0,5.79,4.51,6.91,8.6,5.8,11.4,
Region 6: Western Visayas,2010,,93.38,94.87,92.0,61.36,67.6,55.47,,,,,,2.5,1.1,0.4,0.4,,,71.15,77.87,65.42,74.64,80.17,69.26,,,,,100.0,3.397629724928237,,,,,,,11296248.0,,,4.6,8.0,78853405.0,433178888.0,7115840.0,6.56,4.88,8.05,7.5,5.5,9.4,
Region 7: Central Visayas,2010,,95.48,96.8,94.23,61.46,68.09,55.2,,,,,4.6,2.7,1.2,0.4,0.3,,,76.56,82.85,71.05,75.35,80.72,70.01,,,,,100.0,10.180463520665311,,,,,,,3078295.0,,,3.0,11.1,97617542.0,539482115.0,6818314.0,4.82,3.44,6.03,7.8,5.8,9.8,
Region 8: Eastern Visayas,2010,,95.39,96.97,93.91,56.55,63.44,50.11,,,,,3.5,2.1,0.7,0.4,0.3,,,71.79,77.73,66.63,69.7,74.24,65.05,,,,,100.0,4.4831525896237565,,,,,,,4583287.0,,,3.6,36.4,66576295.0,254164654.0,4111674.0,6.42,4.89,7.8,9.9,8.3,11.6,
Region 9: Zamboanga Peninsula,2010,,94.34,95.94,92.83,51.02,56.96,45.36,,,,,3.4,2.1,0.8,0.3,0.2,,,58.72,65.11,53.27,68.29,72.97,63.44,,,,,100.0,1.8787926995154576,,,,,,,16848217.0,,,2.9,11.3,54249749.0,195081265.0,3414199.0,10.41,8.41,12.25,10.1,8.4,11.9,
Region 10: Northern Mindanao,2010,,92.74,93.97,91.57,55.24,61.0,49.75,,,,,3.8,2.3,0.9,0.4,0.3,,,65.47,71.9,59.88,79.94,83.55,76.26,,,,,100.0,4.32248497961551,,,,,,,10258443.0,,,3.4,15.3,73568066.0,394980142.0,4309258.0,7.95,6.23,9.53,6.0,4.5,7.5,
Region 11: Davao Region,2010,,99.37,99.56,99.18,55.87,61.68,50.3,,,,,4.4,2.6,1.0,0.5,0.2,,,63.7,70.78,57.65,72.96,81.34,64.58,,,,,100.0,4.696809340549095,,,,,,,28070422.0,,,3.0,11.3,108400878.0,403461237.0,4481458.0,8.8,6.77,10.63,9.2,6.6,11.9,
Region 12: SOCCSKSARGEN,2010,,88.65,90.58,86.84,54.15,59.76,48.77,,,,,3.1,1.9,0.7,0.3,0.2,,,63.35,68.42,58.8,72.34,75.63,68.95,,,,,100.0,1.4563465107246572,,,,,,,-9587180.0,,,3.2,-3.1,33894195.0,252178036.0,3701963.0,8.9,7.43,10.28,8.7,7.4,10.1,
CARAGA: CARAGA Administrative Region,2010,,96.95,97.34,96.58,58.18,63.67,53.03,,,,,3.7,2.2,0.8,0.4,0.2,,,71.21,77.64,65.75,71.04,74.86,67.24,,,,,100.0,8.931179381321769,,,,,,,-3984307.0,,,2.2,3.9,30642970.0,143337552.0,2434366.0,6.72,5.04,8.22,9.3,7.9,10.7,
BARMM: Bangsamoro Autonomous Region in Muslim Mindanao,2010,,103.25,110.01,96.66,44.54,51.13,38.0,,,,,0.2,0.1,0.0,0.0,0.0,,,39.29,41.7,36.75,59.47,61.8,56.55,,,,,99.27,6.379147571312259,,,,,,,-9557387.0,,,2.3,36.4,22262068.0,131635468.0,3692323.0,18.1,16.95,19.37,11.2,10.5,12.2,
PHILIPPINES,2011,,98.04,99.33,96.84,65.14,70.75,59.82,,,,,4.4,2.7,1.0,0.4,0.3,,,71.01,75.7,66.83,74.4,80.3,68.61,,,,,70.18081236272779,2.061136379092005,,,,,,,178559066.0,,,100.0,21.1,2103996324.0,10144661327.0,94227150.0,6.36,5.18,7.45,7.8,5.6,10.0,
NCR: National Capital Region,2011,,99.69,101.54,97.97,79.79,83.41,76.27,,,,,5.2,3.3,1.2,0.4,0.3,,,83.07,85.9,79.8,79.08,84.48,73.83,,,,,80.70232002328778,0.7056681457364107,,,,,,,37960386.0,,,42.1,19.9,720272869.0,3237138656.0,12080971.0,2.93,2.42,3.86,5.8,3.9,7.6,
CAR: Cordillera Administrative Region,2011,,100.8,101.71,99.96,68.27,75.39,61.47,,,,,3.4,2.0,1.0,0.2,0.2,,,78.86,84.77,73.7,80.02,89.73,70.64,,,,,70.583333565578,-0.8184313880145595,,,,,,,20906816.0,,,2.1,23.0,49944680.0,200486679.0,1641438.0,4.91,3.57,6.1,6.4,2.7,10.0,
Region 1: Ilocos Region,2011,,98.69,99.29,98.13,76.19,80.92,71.8,,,,,5.1,3.0,1.2,0.4,0.4,,,82.39,85.76,79.42,75.02,80.9,69.54,,,,,80.92520888526595,2.7602023741366395,,,,,,,22315022.0,,,3.7,21.9,84747579.0,334384268.0,4810293.0,3.36,2.53,4.1,6.9,4.9,8.9,
Region 2: Cagayan Valley,2011,,97.31,98.37,96.32,70.5,76.51,64.89,,,,,4.2,2.6,1.0,0.2,0.4,,,73.08,77.28,69.36,77.84,82.95,72.82,,,,,73.17328414559714,5.009277059783429,,,,,,,26715349.0,,,2.5,10.9,80940288.0,213085202.0,3278100.0,4.73,3.59,5.77,6.3,4.4,8.1,
Region 3: Central Luzon,2011,,99.21,100.24,98.26,74.59,79.3,70.17,,,,,5.2,3.2,1.1,0.5,0.4,,,80.32,84.32,76.77,75.21,80.86,69.84,,,,,82.1343553118068,5.734126455339521,,,,,,,9838677.0,,,6.7,22.8,216166904.0,1096258667.0,10372806.0,4.07,3.17,4.9,7.6,5.5,9.7,
Region 4A: CALABARZON,2011,,96.58,97.65,95.58,72.46,76.85,68.29,,,,,4.8,3.0,1.1,0.5,0.3,,,85.42,89.05,81.55,84.01,89.15,78.99,,,,,81.5785989437003,-0.3462034812161221,,,,,,,-65654452.0,,,6.9,26.4,217059209.0,1582459854.0,13003881.0,2.46,1.83,3.7,4.5,2.7,6.3,
MIMAROPA: Southwestern Tagalog Region,2011,,97.89,98.56,97.26,61.63,67.66,55.97,,,,,3.7,2.2,0.8,0.3,0.4,,,72.38,77.46,67.9,72.82,79.88,66.02,,,,,59.983526072844114,2.300266510700183,,,,,,,5318716.0,,,2.3,24.2,28886357.0,212158911.0,2793725.0,6.13,4.86,7.27,8.9,6.1,11.7,
Region 5: Bicol Region,2011,,99.11,99.49,98.75,60.8,67.74,54.38,,,,,,3.3,0.9,0.4,0.4,,,74.78,80.18,70.04,71.43,78.57,64.46,,,,,67.44114552552281,2.1163616986964517,,,,,,,8723895.0,,,4.0,26.4,59544473.0,266892594.0,5504085.0,5.7,4.46,6.8,9.3,6.6,11.9,
Region 6: Western Visayas,2011,,95.82,96.78,94.91,62.4,68.82,56.39,,,,,,2.5,1.1,0.4,0.4,,,74.61,80.84,69.2,75.46,81.98,69.17,,,,,64.41042711167411,5.012606125834736,,,,,,,21788503.0,,,4.6,21.9,93884238.0,477427428.0,7200096.0,5.64,4.17,6.95,7.4,5.0,9.6,
Region 7: Central Visayas,2011,,98.5,99.77,97.32,61.16,67.94,54.77,,,,,4.6,2.7,1.2,0.4,0.3,,,80.37,86.83,74.67,74.56,82.47,67.06,,,,,69.71545815712582,5.353704995510583,,,,,,,9876532.0,,,3.0,28.8,117435296.0,592227842.0,6930757.0,4.23,2.83,5.47,8.1,5.1,10.9,
Region 8: Eastern Visayas,2011,,96.58,97.68,95.55,58.48,66.14,51.39,,,,,3.6,2.2,0.7,0.4,0.3,,,66.11,72.18,60.9,67.78,74.16,61.46,,,,,66.3564825529945,1.186317969406076,,,,,,,22366355.0,,,4.5,18.4,78986608.0,272677861.0,4172100.0,7.97,6.35,9.42,11.0,8.5,13.5,
Region 9: Zamboanga Peninsula,2011,,97.27,98.42,96.18,50.83,56.74,45.21,,,,,3.8,2.3,0.9,0.4,0.2,,,59.93,66.73,54.09,70.01,75.56,64.37,,,,,48.78483819929952,-1.190605513344991,,,,,,,15780164.0,,,2.9,13.6,51040945.0,210255381.0,3460521.0,9.91,7.87,11.77,9.8,7.7,12.1,
Region 10: Northern Mindanao,2011,,94.84,95.67,94.05,55.55,61.3,50.05,,,,,3.7,2.2,0.8,0.4,0.3,,,63.84,70.28,58.22,64.97,71.38,58.72,,,,,66.19156915932352,4.141792672661012,,,,,,,8443267.0,,,3.6,18.0,75523122.0,436363852.0,4385050.0,8.74,6.99,10.33,11.8,9.2,14.4,
Region 11: Davao Region,2011,,100.53,101.24,99.86,56.52,62.55,50.74,,,,,4.4,2.6,1.0,0.5,0.2,,,61.62,68.66,55.59,68.63,74.95,62.22,,,,,54.57616755308824,2.0825574379776697,,,,,,,38166974.0,,,3.1,22.6,119476612.0,437559437.0,4561874.0,9.35,7.34,11.16,9.3,6.8,11.7,
Region 12: SOCCSKSARGEN,2011,,90.95,92.56,89.43,53.97,59.67,48.51,,,,,3.3,2.0,0.7,0.4,0.2,,,63.36,69.17,58.19,69.21,74.29,64.11,,,,,43.287409805834606,2.8838107506756927,,,,,,,-1487405.0,,,2.8,27.5,47361834.0,277035863.0,3771762.0,8.59,6.94,10.13,9.6,7.6,11.7,
CARAGA: CARAGA Administrative Region,2011,,95.55,96.08,95.05,56.92,63.22,51.01,,,,,3.8,2.3,0.8,0.4,0.3,,,66.0,73.2,59.96,69.53,73.82,65.33,,,,,76.98009870791573,5.613559563605548,,,,,,,6678630.0,,,2.1,27.0,45391556.0,156504793.0,2466625.0,8.05,6.1,9.8,10.1,8.4,11.8,
BARMM: Bangsamoro Autonomous Region in Muslim Mindanao,2011,,108.07,114.0,102.23,44.32,51.64,37.05,,,,,0.3,0.2,0.1,0.0,0.0,,,23.46,24.72,22.04,55.98,59.86,51.19,,,,,26.56109339407745,0.1593546046638323,,,,,,,-9178363.0,,,2.8,14.2,17333754.0,141744037.0,3793064.0,22.72,22.22,23.26,12.3,10.6,14.5,
PHILIPPINES,2012,,97.29,98.11,96.53,66.17,71.92,60.74,,,,,4.4,2.7,1.0,0.4,0.3,,,72.66,77.17,68.62,74.64,79.74,69.6,,,,,76.6945712437693,5.065050214902072,,,,,,,-42228645.0,,,100.0,9.2,2163531693.0,11060588831.0,95870083.0,6.24,5.12,7.25,8.1,6.2,10.0,
NCR: National Capital Region,2012,,99.22,100.65,97.87,81.02,85.14,77.04,,,,,5.2,3.2,1.2,0.5,0.3,,,80.03,83.77,76.64,76.68,82.12,71.47,,,,,99.252310111609,4.555136363206344,,,,,,,-53978335.0,,,41.7,10.3,758973608.0,3553088571.0,12275553.0,4.1,3.27,4.88,6.9,4.9,8.8,
CAR: Cordillera Administrative Region,2012,,100.0,100.46,99.56,70.43,77.62,63.61,,,,,3.5,2.1,1.0,0.2,0.2,,,78.23,82.69,74.26,78.43,85.51,71.45,,,,,74.58540324802692,-1.0107739804595042,,,,,,,268953.0,,,2.1,4.5,29548738.0,201836502.0,1662169.0,4.79,3.77,5.7,6.9,4.1,9.7,
Region 1: Ilocos Region,2012,,97.56,97.66,97.47,77.67,82.5,73.18,,,,,5.1,3.4,1.0,0.4,0.4,,,85.21,87.97,82.74,80.27,85.69,75.16,,,,,82.70334994848375,4.129049698372072,,,,,,,-424963.0,,,3.7,6.4,68070088.0,356651167.0,4863510.0,3.1,2.48,3.66,6.1,4.2,7.8,
Region 2: Cagayan Valley,2012,,98.4,98.97,97.87,71.31,77.5,65.56,,,,,4.2,2.6,1.0,0.2,0.4,,,82.02,86.3,78.22,77.6,82.56,72.69,,,,,74.48580844677399,5.620296771017408,,,,,,,20349948.0,,,2.3,2.9,79946525.0,234724620.0,3320398.0,3.93,2.97,4.81,6.9,5.2,8.7,
Region 3: Central Luzon,2012,,98.46,99.1,97.86,75.34,80.19,70.81,,,,,5.2,3.2,1.2,0.5,0.4,,,82.59,86.21,79.36,76.0,81.12,71.11,,,,,89.69698962886525,6.297385309930846,,,,,,,15729819.0,,,6.8,12.5,244530920.0,1206580595.0,10577379.0,3.71,2.89,4.46,7.6,5.6,9.4,
Region 4A: CALABARZON,2012,,97.29,98.01,96.61,73.74,78.39,69.34,,,,,4.7,2.9,1.0,0.5,0.3,,,84.81,89.72,80.47,82.32,87.3,77.54,,,,,94.35743601036552,5.153845507752749,,,,,,,-58510828.0,,,7.2,6.3,231742975.0,1721867470.0,13347384.0,3.26,1.71,4.26,5.4,3.6,7.2,
MIMAROPA: Southwestern Tagalog Region,2012,,96.78,97.14,96.44,63.5,69.78,57.63,,,,,3.7,2.2,0.8,0.4,0.3,,,74.17,79.8,69.24,76.63,82.12,71.24,,,,,62.52852047495061,3.830572640270319,,,,,,,512923.0,,,2.4,3.7,24934114.0,231318002.0,2835835.0,5.87,4.52,7.06,7.7,5.6,9.8,
Region 5: Bicol Region,2012,,98.6,98.64,98.56,61.52,68.22,55.32,,,,,,3.3,0.9,0.4,0.3,,,76.82,81.85,72.41,71.88,78.93,65.0,,,,,68.69581153431628,8.635029965104835,,,,,,,7479267.0,,,4.2,5.8,69740827.0,298247874.0,5576135.0,5.35,4.17,6.37,9.2,6.5,11.8,
Region 6: Western Visayas,2012,,96.5,96.97,96.06,63.15,69.73,57.0,,,,,,2.5,1.1,0.4,0.4,,,78.59,84.53,73.4,75.71,81.48,70.16,,,,,68.5783928030332,5.971523211840179,,,,,,,3128975.0,,,4.7,3.6,95477787.0,527279962.0,7283710.0,4.8,3.46,5.99,7.7,5.5,9.7,
