Geolocation,Year,1.2.1 Poverty Proportion,1.4.1 Net Elem Enrolment Rate,1.4.1 Net Elem Enrolment Rate (Girls),1.4.1 Net Elem Enrolment Rate (Boys),1.4.1 Net JHS Enrolment Rate,1.4.1 Net JHS Enrolment Rate (Girls),1.4.1 Net JHS Enrolment Rate (Boys),1.4.1 Net SHS Enrolment Rate,1.4.1 Net SHS Enrolment Rate (Girls),1.4.1 Net SHS Enrolment Rate (Boys),1.5.4 Proportion of LGU with DRR,3.4.1 Mortality rate credited to NCD,3.4.1 Mortality rate credited to Cardio,3.4.1 Mortality rate credited to Cancer,3.4.1 Mortality rate credited to Diabetes,3.4.1 Mortality rate credited to Respi,3.7.1 Proportion of Contraceptive Use of Women,3.7.2 Teenage pregnancy rates per 1000,4.1 Elem Completion Rate,4.1 Elem Completion Rate (Female),4.1 Elem Completion Rate (Male),4.1 JHS Completion Rate,4.1 JHS Completion Rate (Female),4.1 JHS Completion Rate (Male),4.1 SHS Completion Rate,4.1 SHS Completion Rate (Female),4.1 SHS Completion Rate (Male),4.c TVET trainers trained,7.1.1 Proportion of pop with electricity,8.1.1 Growth rate of real GDP per capita,10.1.1.1 Income per capita growth rate of bottom 40,10.1.1.2 Income per capita growth rate,14.5.1.1 Coverage of protected areas,14.5.1.2 Coverage of protected NIPAS and Locally managed MPAs,"16.1.1 Victims of intentional homicide per 100,000",16.1.s1 Number of murder cases,Changes in Inventories,Current Health Expenditure,Current Health Expenditure GR,Consumption Expenditure %,Consumption Expenditure GR,Gross Capital Formation,GRDP,Population,Primary Drop-out rate,Primary Drop-out rate (Girls),Primary Drop-out rate (Boys),Secondary Drop-out rate,Secondary Drop-out rate (Girls),Secondary Drop-out rate (Boys),Price Index for Agriculture
Region 6: Western Visayas,2001,,89.6,90.37,88.85,58.38,63.76,53.14,,,,,,,,,,,,63.88,62.46,65.29,71.47,72.48,70.03,,,,,,0.8821413146258266,,,,,,,12193914.0,,,5.1,4.2,44831024.0,190527313.0,6317904.0,,,,,,,
Region 7: Central Visayas,2001,,88.56,89.13,88.01,55.65,60.3,51.08,,,,,,,,,,,,71.52,74.61,68.45,68.64,73.28,63.3,,,,,,2.4306002644343323,,,,,,,23634467.0,,,2.8,11.0,74574164.0,221348981.0,5830498.0,,,,,,,
Region 8: Eastern Visayas,2001,,86.98,88.42,85.61,48.48,53.82,43.41,,,,,,,,,,,,63.64,67.98,59.57,64.9,67.38,62.05,,,,,,1.2407994528353044,,,,,,,-832765.0,,,4.3,7.9,25191530.0,111662287.0,3658304.0,,,,,,,
Region 9: Zamboanga Peninsula,2001,,90.22,90.52,89.93,43.95,47.79,40.13,,,,,,,,,,,,48.56,51.6,45.74,67.71,70.15,64.91,,,,,,-0.2771733087915464,,,,,,,4412723.0,,,3.6,4.0,20350909.0,76332913.0,2906575.0,,,,,,,
Region 10: Northern Mindanao,2001,,93.58,94.27,92.92,51.92,57.42,46.57,,,,,,,,,,,,62.65,67.06,58.67,67.44,71.26,63.32,,,,,,4.426710979482039,,,,,,,2205454.0,,,2.4,9.9,24298457.0,136862102.0,3599472.0,,,,,,,
Region 11: Davao Region,2001,,84.7,85.68,83.76,48.9,53.53,44.33,,,,,,,,,,,,67.55,71.06,64.23,68.53,70.92,65.82,,,,,,0.4045186861624756,,,,,,,12619403.0,,,3.6,4.8,44208881.0,162157754.0,3766504.0,,,,,,,
Region 12: SOCCSKSARGEN,2001,,86.78,87.85,85.74,50.56,55.2,45.97,,,,,,,,,,,,51.07,52.27,49.93,63.96,65.49,62.35,,,,,,-1.5454018863797216,,,,,,,-7847249.0,,,4.0,1.4,6512848.0,95184436.0,3054507.0,,,,,,,
CARAGA: CARAGA Administrative Region,2001,,83.12,83.72,82.55,49.61,56.73,42.71,,,,,,,,,,,,69.09,72.58,65.83,63.02,64.64,61.19,,,,,,3.153920360133398,,,,,,,-8993970.0,,,2.3,5.3,7578191.0,56225051.0,2134809.0,,,,,,,
BARMM: Bangsamoro Autonomous Region in Muslim Mindanao,2001,,83.68,87.46,79.89,20.48,22.05,18.89,,,,,,,,,,,,31.9,33.06,30.65,64.41,66.32,62.25,,,,,,-4.940170715737835,,,,,,,-1507265.0,,,1.8,5.1,4180245.0,44751362.0,3096339.0,,,,,,,
PHILIPPINES,2002,,90.29,91.1,89.51,59.0,63.72,54.39,,,,,,,,,,,,71.55,76.32,67.23,74.81,79.98,69.5,,,,,,1.691457854710876,,,,,,,91133746.0,,,100.0,4.9,890086990.0,4350559772.0,79832103.0,,,,,,,
