Geolocation,Year,3.4.1 Mortality rate creditted to NCD,3.4.1 Mortality rate creditted to Cardio,3.4.1 Mortality rate creditted to Cancer,3.4.1 Mortality rate creditted to Diabetes,3.4.1 Mortality rate creditted to Respi,3.7.1 Proportion of Contraceptive Use of Women,3.7.2 Teenage pregnancy rates per 1000
PHILIPPINES,2012,4.4,2.7,1.0,0.4,0.3,,
NCR: National Capital Region,2012,5.2,3.2,1.2,0.5,0.3,,
CAR: Cordillera Administrative Region,2012,3.5,2.1,1.0,0.2,0.2,,
Region 1: Ilocos Region,2012,5.1,3.4,1.0,0.4,0.4,,
Region 2: Cagayan Valley,2012,4.2,2.6,1.0,0.2,0.4,,
Region 3: Central Luzon,2012,5.2,3.2,1.2,0.5,0.4,,
Region 4A: CALABARZON,2012,4.7,2.9,1.0,0.5,0.3,,
MIMAROPA: Southwestern Tagalog Region,2012,3.7,2.2,0.8,0.4,0.3,,
Region 5: Bicol Region,2012,,3.3,0.9,0.4,0.3,,
Region 6: Western Visayas,2012,,2.5,1.1,0.4,0.4,,
Region 7: Central Visayas,2012,4.4,2.6,1.1,0.4,0.3,,
Region 8: Eastern Visayas,2012,3.6,2.3,0.7,0.4,0.3,,
Region 9: Zamboanga Peninsula,2012,3.3,2.1,0.7,0.3,0.2,,
Region 10: Northern Mindanao,2012,3.9,2.4,0.9,0.4,0.3,,
Region 11: Davao Region,2012,4.2,2.5,0.9,0.5,0.2,,
Region 12: SOCCSKSARGEN,2012,3.6,2.1,0.7,0.4,0.3,,
CARAGA: Cordillera Administrative Region,2012,3.7,2.2,0.8,0.5,0.2,,
BARMM: Bangsamoro Autonomous Region in Muslim Mindanao,2012,0.5,0.4,0.1,0.1,0.0,,
PHILIPPINES,2013,4.5,2.7,1.0,0.5,0.3,51.8,57.0
NCR: National Capital Region,2013,5.2,3.3,1.2,0.5,0.2,53.4,48.0
CAR: Cordillera Administrative Region,2013,3.4,2.0,1.0,0.3,0.2,59.8,53.0
Region 1: Ilocos Region,2013,5.0,2.9,1.2,0.5,0.4,50.8,78.0
Region 2: Cagayan Valley,2013,4.4,2.7,1.0,0.3,0.4,69.1,65.0
Region 3: Central Luzon,2013,5.2,3.1,1.2,0.6,0.4,60.4,63.0
Region 4A: CALABARZON,2013,4.9,3.1,1.0,0.6,0.3,49.1,58.0
MIMAROPA: Southwestern Tagalog Region,2013,3.8,2.3,0.8,0.4,0.3,55.1,68.0
Region 5: Bicol Region,2013,,3.2,0.9,0.5,0.3,29.3,59.0
Region 6: Western Visayas,2013,,2.5,1.1,0.4,0.4,45.5,58.0
Region 7: Central Visayas,2013,4.7,2.7,1.2,0.5,0.3,46.0,49.0
Region 8: Eastern Visayas,2013,3.7,2.2,0.7,0.5,0.3,50.2,50.0
Region 9: Zamboanga Peninsula,2013,3.7,2.2,0.8,0.4,0.2,53.0,43.0
Region 10: Northern Mindanao,2013,4.1,2.4,0.9,0.5,0.3,53.0,62.0
Region 11: Davao Region,2013,4.5,2.8,0.9,0.5,0.3,55.1,54.0
Region 12: SOCCSKSARGEN,2013,3.9,2.4,0.8,0.5,0.3,60.5,58.0
CARAGA: Cordillera Administrative Region,2013,3.8,2.3,0.8,0.5,0.2,57.5,87.0
BARMM: Bangsamoro Autonomous Region in Muslim Mindanao,2013,0.5,0.3,0.1,0.0,0.0,29.7,56.0
PHILIPPINES,2014,4.6,2.8,1.0,0.6,0.3,,
NCR: National Capital Region,2014,5.3,3.4,1.2,0.5,0.3,,
CAR: Cordillera Administrative Region,2014,3.5,2.0,1.0,0.3,0.2,,
Region 1: Ilocos Region,2014,5.1,2.8,1.2,0.6,0.4,,
Region 2: Cagayan Valley,2014,4.4,2.7,1.1,0.3,0.4,,
Region 3: Central Luzon,2014,5.4,3.2,1.2,0.7,0.4,,
Region 4A: CALABARZON,2014,5.1,3.1,1.1,0.7,0.3,,
MIMAROPA: Southwestern Tagalog Region,2014,3.9,2.2,0.9,0.4,0.3,,
Region 5: Bicol Region,2014,,3.4,0.9,0.6,0.4,,
Region 6: Western Visayas,2014,,2.5,1.1,0.5,0.4,,
Region 7: Central Visayas,2014,4.8,2.7,1.2,0.6,0.3,,
Region 8: Eastern Visayas,2014,3.8,2.3,0.7,0.5,0.3,,
Region 9: Zamboanga Peninsula,2014,3.7,2.2,0.8,0.4,0.2,,
Region 10: Northern Mindanao,2014,4.0,2.2,1.0,0.6,0.2,,
Region 11: Davao Region,2014,4.6,2.7,1.0,0.6,0.2,,
Region 12: SOCCSKSARGEN,2014,3.8,2.2,0.8,0.5,0.3,,
CARAGA: Cordillera Administrative Region,2014,4.0,2.3,0.8,0.6,0.2,,
BARMM: Bangsamoro Autonomous Region in Muslim Mindanao,2014,0.6,0.3,0.1,0.1,0.0,,
PHILIPPINES,2015,4.7,2.8,1.0,0.6,0.3,,
NCR: National Capital Region,2015,5.5,3.4,1.2,0.6,0.3,,
CAR: Cordillera Administrative Region,2015,3.7,2.1,1.1,0.4,0.2,,
Region 1: Ilocos Region,2015,5.1,2.9,1.2,0.6,0.4,,
Region 2: Cagayan Valley,2015,4.5,2.7,1.1,0.4,0.4,,
Region 3: Central Luzon,2015,5.4,3.2,1.2,0.7,0.4,,
Region 4A: CALABARZON,2015,5.0,3.0,1.1,0.7,0.3,,
MIMAROPA: Southwestern Tagalog Region,2015,3.9,2.3,0.8,0.4,0.3,,
Region 5: Bicol Region,2015,,3.4,0.9,0.6,0.3,,
Region 6: Western Visayas,2015,,2.5,1.1,0.6,0.3,,
Region 7: Central Visayas,2015,5.0,2.9,1.2,0.7,0.2,,
Region 8: Eastern Visayas,2015,3.8,2.3,0.8,0.5,0.3,,
Region 9: Zamboanga Peninsula,2015,3.9,2.4,0.9,0.5,0.2,,
Region 10: Northern Mindanao,2015,4.3,2.5,1.0,0.6,0.2,,
Region 11: Davao Region,2015,4.7,2.7,1.1,0.7,0.2,,
Region 12: SOCCSKSARGEN,2015,3.9,2.3,0.8,0.5,0.3,,
CARAGA: Cordillera Administrative Region,2015,4.2,2.4,1.0,0.6,0.2,,
BARMM: Bangsamoro Autonomous Region in Muslim Mindanao,2015,0.8,0.6,0.2,0.1,0.0,,
PHILIPPINES,2016,4.6,2.7,1.1,0.6,0.3,,
NCR: National Capital Region,2016,5.2,3.2,1.2,0.6,0.2,,
CAR: Cordillera Administrative Region,2016,3.6,2.0,1.1,0.3,0.2,,
Region 1: Ilocos Region,2016,5.0,2.8,1.2,0.6,0.4,,
Region 2: Cagayan Valley,2016,4.4,2.6,1.1,0.4,0.4,,
Region 3: Central Luzon,2016,5.3,3.1,1.2,0.7,0.3,,
Region 4A: CALABARZON,2016,4.9,3.0,1.1,0.6,0.3,,
MIMAROPA: Southwestern Tagalog Region,2016,4.2,2.4,0.9,0.5,0.3,,
Region 5: Bicol Region,2016,,3.4,0.9,0.6,0.3,,
Region 6: Western Visayas,2016,,2.4,1.1,0.5,0.4,,
Region 7: Central Visayas,2016,4.9,2.8,1.3,0.6,0.2,,
Region 8: Eastern Visayas,2016,3.7,2.1,0.8,0.5,0.3,,
Region 9: Zamboanga Peninsula,2016,4.0,2.3,0.9,0.5,0.2,,
Region 10: Northern Mindanao,2016,4.5,2.7,1.0,0.6,0.2,,
Region 11: Davao Region,2016,4.7,2.8,1.1,0.7,0.3,,
Region 12: SOCCSKSARGEN,2016,4.0,2.4,0.8,0.5,0.3,,
CARAGA: Cordillera Administrative Region,2016,4.1,2.3,0.9,0.6,0.2,,
BARMM: Bangsamoro Autonomous Region in Muslim Mindanao,2016,0.8,0.6,0.2,0.1,0.0,,
PHILIPPINES,2017,4.5,2.7,1.0,0.5,0.3,56.9,47.0
NCR: National Capital Region,2017,4.9,3.1,1.1,0.5,0.2,59.5,27.0
CAR: Cordillera Administrative Region,2017,3.6,2.1,1.1,0.3,0.2,66.7,25.0
Region 1: Ilocos Region,2017,4.9,2.8,1.2,0.5,0.3,59.5,46.0
Region 2: Cagayan Valley,2017,4.3,2.6,1.1,0.3,0.4,74.1,51.0
Region 3: Central Luzon,2017,5.2,3.1,1.2,0.6,0.3,56.8,61.0
Region 4A: CALABARZON,2017,4.9,3.0,1.1,0.6,0.3,49.2,37.0
MIMAROPA: Southwestern Tagalog Region,2017,3.9,2.3,0.9,0.4,0.3,61.7,47.0
Region 5: Bicol Region,2017,,3.5,0.9,0.5,0.3,44.4,36.0
Region 6: Western Visayas,2017,,2.3,1.2,0.4,0.4,56.8,38.0
Region 7: Central Visayas,2017,4.7,2.7,1.2,0.5,0.2,51.2,47.0
Region 8: Eastern Visayas,2017,3.7,2.1,0.9,0.5,0.3,54.6,50.0
Region 9: Zamboanga Peninsula,2017,3.9,2.2,0.9,0.4,0.2,56.8,54.0
Region 10: Northern Mindanao,2017,4.3,2.5,1.0,0.5,0.2,63.0,81.0
Region 11: Davao Region,2017,4.7,2.8,1.0,0.6,0.3,64.7,87.0
Region 12: SOCCSKSARGEN,2017,3.9,2.3,0.8,0.5,0.3,66.6,91.0
CARAGA: Cordillera Administrative Region,2017,4.0,2.2,0.9,0.6,0.2,64.5,61.0
BARMM: Bangsamoro Autonomous Region in Muslim Mindanao,2017,0.8,0.6,0.1,0.1,0.0,42.5,47.0
PHILIPPINES,2018,4.5,2.7,1.0,0.5,0.3,,
NCR: National Capital Region,2018,4.9,3.1,1.1,0.5,0.2,,
CAR: Cordillera Administrative Region,2018,3.8,2.2,1.2,0.3,0.2,,
Region 1: Ilocos Region,2018,4.9,2.8,1.2,0.5,0.3,,
Region 2: Cagayan Valley,2018,4.5,2.7,1.1,0.3,0.4,,
Region 3: Central Luzon,2018,5.2,3.1,1.2,0.6,0.3,,
Region 4A: CALABARZON,2018,4.9,3.0,1.0,0.6,0.2,,
MIMAROPA: Southwestern Tagalog Region,2018,4.1,2.4,1.0,0.5,0.3,,
Region 5: Bicol Region,2018,,3.3,0.9,0.5,0.3,,
Region 6: Western Visayas,2018,,2.5,1.1,0.5,0.3,,
Region 7: Central Visayas,2018,4.7,2.7,1.2,0.5,0.2,,
Region 8: Eastern Visayas,2018,3.8,2.2,0.9,0.5,0.3,,
Region 9: Zamboanga Peninsula,2018,4.2,2.6,1.0,0.5,0.2,,
Region 10: Northern Mindanao,2018,4.4,2.6,1.0,0.6,0.3,,
Region 11: Davao Region,2018,4.6,2.8,1.1,0.6,0.2,,
Region 12: SOCCSKSARGEN,2018,3.8,2.3,0.8,0.5,0.3,,
CARAGA: Cordillera Administrative Region,2018,4.0,2.3,1.0,0.6,0.2,,
BARMM: Bangsamoro Autonomous Region in Muslim Mindanao,2018,0.9,0.6,0.1,0.1,0.0,,
