Geolocation,Year,8.1.1 Growth rate of real GDP per capita
Region 11: Davao Region,2011,2.0825574379776697
Region 12: SOCCSKSARGEN,2011,2.8838107506756927
CARAGA: CARAGA Administrative Region,2011,5.613559563605548
BARMM: Bangsamoro Autonomous Region in Muslim Mindanao,2011,0.1593546046638323
PHILIPPINES,2012,5.065050214902072
NCR: National Capital Region,2012,4.555136363206344
CAR: Cordillera Administrative Region,2012,-1.0107739804595042
Region 1: Ilocos Region,2012,4.129049698372072
Region 2: Cagayan Valley,2012,5.620296771017408
Region 3: Central Luzon,2012,6.297385309930846
Region 4A: CALABARZON,2012,5.153845507752749
MIMAROPA: Southwestern Tagalog Region,2012,3.830572640270319
Region 5: Bicol Region,2012,8.635029965104835
Region 6: Western Visayas,2012,5.971523211840179
Region 7: Central Visayas,2012,7.512821173550833
Region 8: Eastern Visayas,2012,-3.949956055608297
Region 9: Zamboanga Peninsula,2012,9.794004471357413
Region 10: Northern Mindanao,2012,5.523041169915885
Region 11: Davao Region,2012,5.236435966192062
Region 12: SOCCSKSARGEN,2012,5.970213505852399
CARAGA: CARAGA Administrative Region,2012,8.967250040076664
BARMM: Bangsamoro Autonomous Region in Muslim Mindanao,2012,-0.2594037511477296
PHILIPPINES,2013,4.948184649854653
NCR: National Capital Region,2013,4.912505744314771
CAR: Cordillera Administrative Region,2013,5.453842621358064
Region 1: Ilocos Region,2013,7.3823968611186785
Region 2: Cagayan Valley,2013,7.554133581939723
Region 3: Central Luzon,2013,3.9672563080284102
Region 4A: CALABARZON,2013,4.635088156621862
MIMAROPA: Southwestern Tagalog Region,2013,2.7225569310088247
Region 5: Bicol Region,2013,8.73662622526885
Region 6: Western Visayas,2013,3.1729849963620467
Region 7: Central Visayas,2013,6.196494663133166
Region 8: Eastern Visayas,2013,4.435973145879203
Region 9: Zamboanga Peninsula,2013,3.993512336170582
Region 10: Northern Mindanao,2013,4.177663836025729
Region 11: Davao Region,2013,4.368361314252226
Region 12: SOCCSKSARGEN,2013,7.0479526546707945
CARAGA: CARAGA Administrative Region,2013,8.030594099555714
BARMM: Bangsamoro Autonomous Region in Muslim Mindanao,2013,1.6059419700813038
PHILIPPINES,2014,4.573826691397272
NCR: National Capital Region,2014,3.842172290162552
CAR: Cordillera Administrative Region,2014,3.919263977685048
Region 1: Ilocos Region,2014,5.465228303762302
Region 2: Cagayan Valley,2014,7.074621900477695
Region 3: Central Luzon,2014,5.702766972817528
Region 4A: CALABARZON,2014,3.1776546014259424
MIMAROPA: Southwestern Tagalog Region,2014,8.496021495115528
Region 5: Bicol Region,2014,4.624104629178973
Region 6: Western Visayas,2014,4.138347267000427
Region 7: Central Visayas,2014,5.722350725832939
Region 8: Eastern Visayas,2014,-1.376379126439204
Region 9: Zamboanga Peninsula,2014,6.158580819239006
Region 10: Northern Mindanao,2014,6.803178171087708
Region 11: Davao Region,2014,7.226857119365988
Region 12: SOCCSKSARGEN,2014,4.275849757719001
CARAGA: CARAGA Administrative Region,2014,7.556260594447536
BARMM: Bangsamoro Autonomous Region in Muslim Mindanao,2014,3.2095735941620944
PHILIPPINES,2015,4.59496997508937
NCR: National Capital Region,2015,4.685638782653996
CAR: Cordillera Administrative Region,2015,3.104854953785093
Region 1: Ilocos Region,2015,4.289071541136906
Region 2: Cagayan Valley,2015,2.846141682562987
Region 3: Central Luzon,2015,4.082270509757507
Region 4A: CALABARZON,2015,4.289997384455432
MIMAROPA: Southwestern Tagalog Region,2015,3.3209294559321165
Region 5: Bicol Region,2015,9.244986189115592
Region 6: Western Visayas,2015,6.424278176437184
Region 7: Central Visayas,2015,4.417575128919964
Region 8: Eastern Visayas,2015,4.71256944529415
Region 9: Zamboanga Peninsula,2015,7.974192111432359
Region 10: Northern Mindanao,2015,4.134850589379767
Region 11: Davao Region,2015,6.197743999558142
Region 12: SOCCSKSARGEN,2015,1.6905311859812144
CARAGA: CARAGA Administrative Region,2015,5.351013984484609
BARMM: Bangsamoro Autonomous Region in Muslim Mindanao,2015,-2.003764526910828
PHILIPPINES,2016,5.376185225284118
NCR: National Capital Region,2016,5.511499901063274
CAR: Cordillera Administrative Region,2016,1.624092370534342
Region 1: Ilocos Region,2016,6.91962854897082
Region 2: Cagayan Valley,2016,3.468013471900917
Region 3: Central Luzon,2016,5.682582243287797
Region 4A: CALABARZON,2016,4.283137611591158
MIMAROPA: Southwestern Tagalog Region,2016,3.334895580526293
Region 5: Bicol Region,2016,5.786055000458632
Region 6: Western Visayas,2016,4.808519586035402
Region 7: Central Visayas,2016,5.625069563063008
Region 8: Eastern Visayas,2016,12.694223943211083
Region 9: Zamboanga Peninsula,2016,4.087313565651371
Region 10: Northern Mindanao,2016,6.236030535286744
Region 11: Davao Region,2016,7.452082722023888
Region 12: SOCCSKSARGEN,2016,2.622671086418208
CARAGA: CARAGA Administrative Region,2016,4.814408537262224
BARMM: Bangsamoro Autonomous Region in Muslim Mindanao,2016,1.3506760719276656
PHILIPPINES,2017,5.248499883550579
NCR: National Capital Region,2017,4.014293029797472
CAR: Cordillera Administrative Region,2017,8.263995581124206
Region 1: Ilocos Region,2017,4.49728745087539
Region 2: Cagayan Valley,2017,6.478262651813864
Region 3: Central Luzon,2017,8.215194066385024
Region 4A: CALABARZON,2017,5.252561050280164
MIMAROPA: Southwestern Tagalog Region,2017,4.76664998852678
Region 5: Bicol Region,2017,4.244207116787209
Region 6: Western Visayas,2017,7.1720186028756245
Region 7: Central Visayas,2017,5.425207785712701
Region 8: Eastern Visayas,2017,1.649893897671717
Region 9: Zamboanga Peninsula,2017,2.201575393775073
Region 10: Northern Mindanao,2017,4.425701551381508
Region 11: Davao Region,2017,7.052769635041884
