1.4.1p6 Net Enrolment Rate in secondary education (Indicator is also found in SDG 4.3.s2),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25
,,Boys,52.88,46.57,48.38,48.42,46.66,45.78,45.85,46.59,45.78,45.47,49.75,50.05,51.76,50.8,51.56,57.9,59.33,62.55,70.83,72.47,72.9159,...,...
,,Girls,61.74,57.42,58.51,59.28,57.62,56.87,56.72,56.91,55.66,55.96,61,61.3,63.22,62.83,63.86,69.96,71.11,73.86,79.85,81.13,80.1995,...,...
,..Region XI,Both Sexes,57.05,48.9,52.28,52.11,51.16,49.02,47.84,49.12,48.61,54.47,55.87,56.52,57.49,60.04,60.2,68.37,70.57,74.27,82.25,85.44,81.6703,...,...
,,Boys,54.01,44.33,47.55,46.92,46.1,43.64,42.84,44.38,43.89,49.61,50.3,50.74,51.4,53.81,53.82,61.79,64.16,68.28,77.01,80.15,76.6309,...,...
,,Girls,60.1,53.53,57.07,57.37,56.28,54.48,52.9,53.93,53.39,59.48,61.68,62.55,63.87,66.62,66.96,75.39,77.38,80.6,87.76,90.98,86.9362,...,...
,..Region XII,Both Sexes,69.48,50.56,53.38,53.86,55.24,51.33,48.85,50.62,51.8,51.22,54.15,53.97,55.11,56.88,57.87,64.82,65.0,68.08,74.49,75.89,77.2258,...,...
,,Boys,66.41,45.97,47.97,48.37,49.55,46.06,43.84,45.43,46.47,46.05,48.77,48.51,49.36,50.45,51.82,58.48,58.99,62.26,69.11,70.7,72.5433,...,...
,,Girls,72.55,55.2,58.89,59.45,61.04,56.69,53.96,55.91,57.23,56.5,59.76,59.67,61.14,63.66,64.26,71.56,71.36,74.2,80.14,81.29,82.0809,...,...
,..Caraga,Both Sexes,56.65,49.61,49.77,49.72,49.66,48.52,48.89,48.64,51.09,55.35,58.18,56.92,58.9,61.25,62.39,70.16,71.07,74.54,80.7,82.2,84.3796,...,...
,,Boys,52.75,42.71,44.07,44.21,43.87,43.29,43.64,44.24,47.05,50.51,53.03,51.01,52.52,55.05,56.37,64.41,65.5,69.5,76.74,78.54,81.5504,...,...
,,Girls,60.71,56.73,55.64,55.41,55.62,53.91,54.3,53.18,55.24,60.51,63.67,63.22,65.7,67.86,68.8,76.29,76.97,79.83,84.84,85.99,87.2908,...,...
