4.1.s1 Completion Rate of elementary and secondary students 1/ 2/,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25
Year,,,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018.0,2019.0,2020.0,2021,2022
Geolocation,Level of Education,Sex,,,,,,,,,,,,,,,,,,,,,,,
..MIMAROPA3/,Elementary,Both Sexes,..,..,69.19,70.42,68.81,67.17,70.04,68.06,71.64,69.38,72.92,72.38,74.17,78.06,86.88,90.21,92.05,93.17,94.8,96.65,90.55,...,...
,,Female,..,..,75.02,76.17,75.84,73.76,76.1,72.43,76.54,74.39,78.95,77.46,79.8,81.99,89.52,94.1,94.65,95.75,97.14,98.42,92.31964000705447,...,...
,,Male,..,..,63.99,65.32,62.65,61.35,64.69,64.14,67.27,64.98,67.68,67.9,69.24,74.57,84.47,86.81,89.72,90.85,92.65,95.0,88.89211512366482,...,...
,Secondary (Junior High School),Both Sexes,..,..,76.83,72.25,71.2,52.76,73.22,72.59,72.56,73.13,70.4,72.82,76.63,76.75,77.44,76.6,78.7,83.89,83.17,85.19,84.39369684032266,...,...
,,Female,..,..,80.71,76.14,76.3,58.75,78.83,76.58,76.48,78.96,75.97,79.88,82.12,81.7,81.98,81.3,83.32,88.17,87.63,89.24,88.75949658193373,...,...
,,Male,..,..,72.6,68.16,65.9,46.6,67.47,68.36,68.5,67.43,64.86,66.02,71.24,71.89,73,72.01,74.03,79.66,78.79,81.28,80.1954784632434,...,...
,Secondary (Senior High School),Both Sexes,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,70.69,72.04,72.90367006636758,...,...
,,Female,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,74.48,75.79,78.93000650071251,...,...
,,Male,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,66.95,68.38,67.10545907476546,...,...
..Region V,Elementary,Both Sexes,64.7,70.17,76.1,71.7,74.32,71.69,73.04,74.36,74.39,74.45,74.54,74.78,76.82,84.95,86.25,85.44,94.59,93.22,96.43,95.6,77.47,...,...
,,Female,66.91,74.13,81.31,77.94,80.78,78.18,78.46,79.29,79.32,79.37,80.04,80.18,81.85,89.02,89.38,88.72,97.36,95.38,98.66,97.72,80.21423338506219,...,...
,,Male,62.58,66.51,71.4,66.18,68.56,65.93,68.2,69.96,70.02,70.1,69.72,70.04,72.41,81.31,83.43,82.52,92.11,91.29,94.41,93.65,74.95884311800924,...,...
,Secondary (Junior High School),Both Sexes,68.3,67.92,77.81,69.74,70.55,54.25,70.32,74.05,73.14,73.61,73,71.43,71.88,75.48,76.37,69.45,76.15,83.19,86.43,82.52,67.84886625240013,...,...
,,Female,71.02,72.05,82.82,75.39,75.63,61.3,76.04,77.81,78.2,78.27,80.49,78.57,78.93,81.7,82.52,76.05,82.6,87.85,92.07,87.72,74.01014068729856,...,...
,,Male,65.31,63.5,72.6,63.95,65.32,46.95,64.24,69.95,67.95,68.87,65.67,64.46,65,69.4,70.46,63.1,69.63,78.46,80.84,77.53,62.089740204535936,...,...
,Secondary (Senior High School),Both Sexes,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,78.34,72.83,51.05055270405532,...,...
,,Female,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,83.2,77.48,57.42852294447712,...,...
,,Male,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,73.5,68.35,45.09884586598221,...,...
..Region VI,Elementary,Both Sexes,65.45,63.88,60.21,68.05,67.44,66.3,70.62,71.87,72.6,72.54,71.15,74.61,78.59,85.68,90.09,88.94,94.76,94.12,97.03,96.7,93.46,...,...
,,Female,63.94,62.46,63.02,75.08,75.98,74.38,78.15,78.95,78.94,79.39,77.87,80.84,84.53,89.64,92.65,92.98,97.62,97.05,98.81,98.13,95.1076520218155,...,...
,,Male,66.95,65.29,57.47,61.97,60.18,59.35,64.14,65.78,67.12,66.69,65.42,69.2,73.4,82.15,87.77,85.41,92.23,91.55,95.42,95.4,91.94108132591964,...,...
,Secondary (Junior High School),Both Sexes,67.93,71.47,73.28,75.37,72.82,61.21,70,75.52,76.35,76.27,74.64,75.46,75.71,78.34,81.87,74.79,81.92,84.7,88.53,85.19,93.50669345700297,...,...
,,Female,63.34,72.48,80.59,82.13,80.02,69.35,76.96,80.78,81.94,80.69,80.17,81.98,81.48,83.32,86.64,80.45,87.77,89.28,92.38,89.82,95.18753729499987,...,...
,,Male,74.61,70.03,65.69,68.6,65.62,53.02,62.87,69.96,70.66,71.8,69.26,69.17,70.16,73.56,77.41,69.48,76.18,80.17,84.74,80.77,91.87510372420033,...,...
,Secondary (Senior High School),Both Sexes,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,79.46,77.24,85.19694765122162,...,...
,,Female,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,83.13,81.6,89.31104212684092,...,...
,,Male,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,75.75,72.73,81.08519477110403,...,...
..Region VII,Elementary,Both Sexes,68.96,71.52,79.66,70.93,70.99,69.3,77.85,78.38,78.83,76.84,76.56,80.37,80.86,85.82,86.09,88.49,94.93,92.16,98.59,96.3,82.69,...,...
,,Female,73.5,74.61,86.24,78.44,80.2,77.39,84.2,84.91,84.68,83.3,82.85,86.83,87.45,90.3,90.33,93.69,96.5,95.04,100.0,98.07,85.07644296409859,...,...
,,Male,64.61,68.45,73.72,64.34,63.02,62.09,72.13,72.53,73.57,71.22,71.05,74.67,75.03,81.81,82.31,83.08,93.26,89.59,96.57,94.45,80.50276173646168,...,...
,Secondary (Junior High School),Both Sexes,71.54,68.64,81.14,69.45,70.55,53.43,70.27,72.59,73.32,73.12,75.35,74.56,74.36,78.45,75.77,75.3,78.33,83.88,92.29,83.76,79.18644440770781,...,...
,,Female,73.15,73.28,82.56,77.04,75.77,62.58,76.31,80.34,78.52,78.9,80.72,82.47,80.84,85.11,81.96,80.6,84.46,88.8,95.51,89.02,83.41156832170549,...,...
,,Male,69.56,63.3,79.6,61.85,65.24,44.33,63.93,64.71,67.9,67.29,70.01,67.06,68.07,72.03,69.89,70.07,72.21,78.99,88.06,78.67,75.08313153465029,...,...
,Secondary (Senior High School),Both Sexes,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,86.49,77.4,67.31807950980419,...,...
,,Female,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,89.81,82.69,72.99751912699881,...,...
,,Male,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,81.54,71.26,61.82018400766536,...,...
