1.4.1p5 Net Enrolment Rate in elementary (Indicator is also found in SDG 4.3.s1) 1/ ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24
..Region X,Both Sexes,95.6,93.58,89.04,86.92,84.16,80.2,78.96,80.6,81.23,91.91,92.74,94.84,94.42,94.0,94.31,94.79,96.57,96.43,97.73,99.23,97.0819,...,...
,Boys,95.98,92.92,88.59,85.96,83.39,79.36,78.01,79.66,80.65,90.91,91.57,94.05,94.47,94.18,94.73,95.43,97.58,97.15,98.93,100.1,97.9734,...,...
,Girls,95.19,94.27,89.5,87.92,84.95,81.08,79.96,81.58,81.83,92.97,93.97,95.67,94.36,93.82,93.86,94.13,95.52,95.68,96.49,98.33,96.1691,...,...
..Region XI,Both Sexes,93.89,84.7,84.96,84.36,82.54,79.01,75.89,77.38,78.0,93.26,99.37,100.53,98.92,100.65,99.78,101.34,100.06,96.88,95.61,93.87,86.266,...,...
,Boys,93.42,83.76,83.97,83.03,81.17,77.71,74.79,76.44,77.42,92.19,99.18,99.86,98.35,100.44,99.41,101.04,99.92,96.59,95.47,93.15,85.4676,...,...
,Girls,94.38,85.68,85.99,85.74,83.97,80.35,77.04,78.36,78.61,94.37,99.56,101.24,99.52,100.87,100.17,101.66,100.2,97.19,95.76,94.63,87.1074,...,...
..Region XII,Both Sexes,97.34,86.78,82.01,81.18,79.99,77.43,76.35,78.65,80.12,84.55,88.65,90.95,90.23,90.52,92.95,93.78,93.3,91.86,92.04,92.24,88.7282,...,...
,Boys,96.33,85.74,80.89,79.8,78.34,75.77,74.93,77.4,79.08,82.51,86.84,89.43,89.12,89.64,92.29,93.47,93.07,91.44,91.98,91.82,88.3066,...,...
,Girls,98.38,87.85,83.18,82.61,81.7,79.15,77.82,79.94,81.21,86.71,90.58,92.56,91.4,91.43,93.64,94.09,93.53,92.3,92.1,92.68,89.17,...,...
..Caraga,Both Sexes,92.92,83.12,80.73,78.04,75.08,74.8,77.76,81.46,76.14,93.86,96.95,95.55,95.49,96.86,98.1,98.85,97.85,95.89,94.74,94.84,92.0358,...,...
,Boys,92.49,82.55,80.17,77.85,74.61,74.49,77.96,80.82,76.71,93.56,96.58,95.05,95.18,97.02,98.49,99.56,99.0,96.69,95.76,95.46,92.8585,...,...
,Girls,93.35,83.72,81.31,78.23,75.56,75.12,77.55,82.15,75.54,94.17,97.34,96.08,95.82,96.7,97.69,98.11,96.65,95.07,93.68,94.2,91.1842,...,...
..BARMM,Both Sexes,91.28,83.68,92.72,90.13,90.01,87.26,85.82,94.01,99.85,74.21,103.25,108.07,96.72,92.86,81.54,76.51,77.29,72.63,73.24,71.51,69.1673,...,...
,Boys,86.19,79.89,88.29,85.92,85.84,84.63,81.84,89.44,95.37,70.14,96.66,102.23,91.89,88.47,77.77,72.92,73.86,69.51,70.19,68.42,66.1032,...,...
,Girls,96.5,87.46,97.15,94.34,94.19,89.9,89.8,98.6,104.34,78.31,110.01,114.0,101.63,97.32,85.37,80.16,80.79,75.82,76.39,74.7,72.3588,...,...
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Note:,,,,,,,,,,,,,,,,,,,,,,,,
.. - Data not available,,,,,,,,,,,,,,,,,,,,,,,,
... - Data not yet available,,,,,,,,,,,,,,,,,,,,,,,,
1/ - Updates were based on the submission of Department of Education in March 2022,,,,,,,,,,,,,,,,,,,,,,,,
2/ - Computation for Region IV-A and MIMAROPA is still merge in 2000 and 2001,,,,,,,,,,,,,,,,,,,,,,,,
